SUBCATEGORIA;DESCR_SUBCAT;DESCRABREV;CATEGORIA;DESCR_CAT;GRUPO;CAPITULO
A000;Cólera devida a Vibrio cholerae 01, biótipo cholerae;A00.0 Colera dev Vibrio cholerae 01 biot cholerae;A00;Cólera;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A001;Cólera devida a Vibrio cholerae 01, biótipo El Tor;A00.1 Colera dev Vibrio cholerae 01 biot El Tor;A00;Cólera;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A009;Cólera não especificada;A00.9 Colera NE;A00;Cólera;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A010;Febre tifóide;A01.0 Febre tifoide;A01;Febres tifóide e paratifóide;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A011;Febre paratifóide A;A01.1 Febre paratifoide A;A01;Febres tifóide e paratifóide;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A012;Febre paratifóide B;A01.2 Febre paratifoide B;A01;Febres tifóide e paratifóide;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A013;Febre paratifóide C;A01.3 Febre paratifoide C;A01;Febres tifóide e paratifóide;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A014;Febre paratifóide não especificada;A01.4 Febre paratifoide NE;A01;Febres tifóide e paratifóide;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A020;Enterite por salmonela;A02.0 Enterite p/salmonela;A02;Outras infecções por Salmonella;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A021;Septicemia por salmonela;A02.1 Septicemia p/salmonela;A02;Outras infecções por Salmonella;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A022;Infecções localizadas por salmonela;A02.2 Infecc localizadas p/salmonela;A02;Outras infecções por Salmonella;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A028;Outras infecções especificadas por salmonela;A02.8 Outr infecc espec p/salmonela;A02;Outras infecções por Salmonella;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A029;Infecção não especificada por salmonela;A02.9 Infecc NE p/salmonela;A02;Outras infecções por Salmonella;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A030;Shiguelose devida a Shigella dysenteriae;A03.0 Shiguelose dev Shigella dysenteriae;A03;Shiguelose;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A031;Shiguelose devida a Shigella flexneri;A03.1 Shiguelose dev Shigella flexneri;A03;Shiguelose;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A032;Shiguelose devida a Shigella boydii;A03.2 Shiguelose dev Shigella boydii;A03;Shiguelose;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A033;Shiguelose devida a Shigella sonnei;A03.3 Shiguelose dev Shigella sonnei;A03;Shiguelose;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A038;Outras shigueloses;A03.8 Outr shigueloses;A03;Shiguelose;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A039;Shiguelose não especificada;A03.9 Shiguelose NE;A03;Shiguelose;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A040;Infecção por Escherichia coli enteropatogênica;A04.0 Infecc p/Escherichia coli enteropatogenica;A04;Outras infecções intestinais bacterianas;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A041;Infecção por Escherichia coli enterotoxigênica;A04.1 Infecc p/Escherichia coli enterotoxigenica;A04;Outras infecções intestinais bacterianas;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A042;Infecção por Escherichia coli enteroinvasiva;A04.2 Infecc p/Escherichia coli enteroinvasiva;A04;Outras infecções intestinais bacterianas;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A043;Infecção por Escherichia coli enterohemorrágica;A04.3 Infecc p/Escherichia coli enterohemorragica;A04;Outras infecções intestinais bacterianas;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A044;Outras infecções intestinais por Escherichia coli;A04.4 Outr infecc intestinais p/Escherichia coli;A04;Outras infecções intestinais bacterianas;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A045;Enterite por Campylobacter;A04.5 Enterite p/Campylobacter;A04;Outras infecções intestinais bacterianas;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A046;Enterite devida a Yersinia enterocolítica;A04.6 Enterite dev Yersinia enterocolitica;A04;Outras infecções intestinais bacterianas;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A047;Enterocolite devida a Clostridium difficile;A04.7 Enterocolite dev Clostridium difficile;A04;Outras infecções intestinais bacterianas;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A048;Outras infecções bacterianas intestinais especificadas;A04.8 Outr infecc bacter intestinais espec;A04;Outras infecções intestinais bacterianas;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A049;Infecção intestinal bacteriana não especificada;A04.9 Infecc intestinal bacter NE;A04;Outras infecções intestinais bacterianas;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A050;Intoxicação alimentar estafilocócica;A05.0 Intox alimentar estafilococica;A05;Outras intoxicações alimentares bacterianas, não classificadas em outra parte;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A051;Botulismo;A05.1 Botulismo;A05;Outras intoxicações alimentares bacterianas, não classificadas em outra parte;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
